Area£¨m2£©,Annual carbon emissions (ton)
86707 ,9364 
69500 ,7506 
130000 ,14040 
70000 ,7560 
67740 ,7316 
70500 ,7614 
102500 ,11070 
48900 ,5281 
50000 ,5400 
125000 ,13500 
125000 ,13500 
57000 ,6156 
47000 ,5076 
350000 ,37800 
51200 ,5530 
53000 ,5724 
53000 ,5724 
57300 ,6188 
49000 ,5292 
40000 ,4320 
45000 ,4860 
56700 ,3260 
100000 ,10800 
92400 ,7577 
11200 ,644 
72500 ,7830 
55000 ,5940 
34500 ,3726 
28000 ,3024 
50000 ,5400 
80000 ,8640 
80100 ,8651 
38700 ,4180 
20000 ,2160 
34300 ,3704 
74000 ,7992 
137640 ,7914 
10430 ,1126 
26000 ,2808 
38000 ,4104 
28000 ,3024 
26000 ,2808 
26000 ,2808 
26000 ,2808 
64000 ,6912 
55800 ,6026 
11200 ,644 
10565 ,607 
26000 ,2132 
